Date,Actual_Price,Predicted_Price
2025-04-18,15870.900123834144,16341.014003311284
2025-04-21,16300.420436177403,15929.560571981827
2025-04-22,16708.050507301232,16359.968105376465
2025-04-23,17166.038878052495,16794.725977641065
2025-04-24,17382.94002442248,17250.023367066868
2025-04-25,17366.13073904824,17467.000637275632
2025-04-28,17461.320915108314,17443.64965272299
2025-04-29,17446.33938571345,17553.445622729138
2025-04-30,17710.74046711158,17529.18731351802
2025-05-01,17977.73119393573,17787.850687692175
2025-05-02,17844.24027878791,18047.81453297008
2025-05-05,17689.65985924343,17923.85066446918
2025-05-06,17738.15979932947,17745.386560355313
2025-05-07,17928.140098223463,17783.489838989917
2025-05-08,17928.92070333101,17991.43169265613
2025-05-09,18708.3396779811,18005.05673913681
2025-05-12,19010.089203023817,18789.117973940447
2025-05-13,19146.81070737401,19094.61379945185
2025-05-14,19112.3200266154,19249.647578858072
2025-05-15,19211.098875897937,19198.07801348716
2025-05-16,19215.460038859397,19285.875020664418
2025-05-19,19142.710675281938,19281.4365684893
2025-05-20,18872.64096577326,19215.72773860302
2025-05-21,18925.740264896303,18939.684488609433
2025-05-22,18737.210612526513,18998.886032121023
2025-05-23,18737.2109375,18790.35839617811
2025-05-26,19199.16094670631,18801.316681135446
2025-05-27,19100.939812886063,19249.04277033871
2025-05-28,19175.869002173422,19156.55540825636
2025-05-29,19113.769247403834,19243.496440965682
2025-05-30,19242.60951258475,19170.769460033625
2025-06-02,19398.961448550224,19291.77907418646
2025-06-03,19460.49059220124,19467.821332435124
2025-06-04,19298.449549868004,19527.89177265996
2025-06-05,19529.949409006163,19342.829214081634
2025-06-06,19591.240131751634,19564.57348594442
2025-06-09,19714.989138400415,19623.24534847401
2025-06-10,19615.880704441224,19762.62664044625
2025-06-11,19662.48975292314,19661.430459887953
2025-06-12,19406.829585303203,19702.31865812093
2025-06-13,19701.21044494165,19466.998920997605
2025-06-16,19521.08991245739,19760.24217807222
2025-06-17,19546.26901437156,19580.523856474087
2025-06-18,19546.26953125,19605.92933238484
2025-06-19,19447.410509896,19629.391078113113
2025-06-20,19630.97177800676,19517.20293745445
2025-06-23,19912.52881254861,19697.22159726685
2025-06-24,19973.551505879732,19988.197595643578
2025-06-25,20167.909726521,20020.152355181053
2025-06-26,20273.461847256403,20211.07039488852
2025-06-27,20369.73114621453,20322.14465202391
2025-06-30,20202.890719392104,20408.215978884604
2025-07-01,20393.13035647385,20253.577227126807
2025-07-02,20601.099948600167,20430.411020961823
2025-07-03,20601.099609375,20652.996471994556
2025-07-04,20412.519151526154,20654.332450286485
2025-07-07,20418.46180113498,20463.70286653284
2025-07-08,20611.33909596782,20474.863212686032
2025-07-09,20630.65973153012,20665.957901166286
2025-07-10,20585.52955422434,20677.828343288507
2025-07-11,20640.32926544291,20641.47527705552
2025-07-14,20677.801323266,20701.168873013463
2025-07-15,20730.48985573044,20744.804029087536
2025-07-16,20885.651205045637,20832.548619472887
2025-07-17,20895.651770784752,20963.711947047384
2025-07-18,20974.18025806127,20972.837632972514
2025-07-21,20892.689353898168,21047.193946270272
2025-07-22,21020.019023847766,20952.869885355933
2025-07-23,21057.9620761564,21078.36164411856
2025-07-24,21108.320157333277,21101.13315537013
2025-07-25,21178.580660792068,21143.374997409992
2025-07-28,21098.288831599406,21204.473231945187
2025-07-29,21129.670115546323,21150.88005546294
2025-07-30,21122.44962992298,21177.515533467056
2025-07-31,20650.130543431034,21188.959463794716
2025-08-01,21053.57927378104,20723.22328251321
2025-08-04,20916.550982820336,21120.741853104904
2025-08-05,21169.418737933505,20988.494212113786
2025-08-06,21242.699972115923,21231.10406913166
2025-08-07,21450.018304626923,21300.129864642862
2025-08-08,21385.400533250067,21513.400921120774
2025-08-11,21681.90119176288,21449.689606076572
2025-08-12,21713.141465428052,21741.92450580257
2025-08-13,21710.669989499263,21766.34794124216
